suburb,type,price,Method,Date,Distance,Postcode,bedrooms,bathrooms,car,Landsize
Malvern East,h,2400000,VB,25/11/2017,8.4,3145,4,2,6,
Mentone,h,1125000,PI,25/11/2017,20,3194,4,2,6,700
Surrey Hills,h,1170000,VB,25/11/2017,10.2,3127,2,1,6,670
Prahran,h,1312000,PI,6/01/2018,4.6,3181,2,1,6,173
Ripponlea,h,1380000,S,6/01/2018,7.2,3185,2,1,6,240
Balwyn North,h,2100000,PI,9/12/2017,9.7,3104,3,2,6,717
Dandenong,h,650000,VB,9/12/2017,24.7,3175,3,2,6,
Keilor East,t,900000,S,9/12/2017,11.7,3033,3,2,6,
Point Cook,h,550000,S,10/02/2018,14.7,3030,3,2,6,
Point Cook,h,697000,S,10/02/2018,14.7,3030,4,2,6,530
Cheltenham,t,875000,VB,3/03/2018,17.9,3192,3,2,6,163
Elsternwick,h,2200000,VB,3/03/2018,7.2,3185,4,2,6,408
Essendon,h,1725000,S,3/03/2018,7.5,3040,3,1,6,607
Mernda,h,606000,S,3/03/2018,25.9,3754,3,2,6,376
Altona,h,740000,PI,10/03/2018,11,3018,3,2,6,267
Epping,h,589500,S,10/03/2018,19.6,3076,3,1,6,545
Kingsbury,h,680000,SP,17/02/2018,12.1,3083,2,1,6,568
Scoresby,h,927000,S,17/02/2018,22.2,3179,3,2,6,718
Brighton,h,1770000,S,17/03/2018,10.5,3186,3,1,6,535
Diamond Creek,h,1063000,SP,17/03/2018,21.8,3089,4,2,6,1222
Kew,h,1925000,VB,17/03/2018,5.4,3101,4,2,6,612
Sunshine West,h,760000,S,17/03/2018,10.5,3020,3,1,6,603
Thomastown,h,920000,S,17/03/2018,15.3,3074,3,1,6,703
Camberwell,h,2650000,VB,24/02/2018,7.7,3124,5,3,6,677
Chadstone,t,765000,S,24/02/2018,11.7,3148,3,2,6,255
Airport West,h,1042000,S,16/07/2016,13.5,3042,3,2,5,612
Ascot Vale,h,1100000,VB,15/10/2016,5.9,3032,4,2,5,559
Brighton East,h,1200000,VB,7/05/2016,10.7,3187,5,2,5,775
Coburg,h,1160000,PI,18/06/2016,7.8,3058,4,2,5,371
Essendon,h,1756000,S,17/09/2016,8,3040,5,2,5,963
Hadfield,h,870000,S,3/12/2016,12.1,3046,4,3,5,591
Kealba,h,1095000,S,15/10/2016,15,3021,4,3,5,654
Maribyrnong,h,1151000,S,27/06/2016,8.7,3032,5,2,5,694
Maribyrnong,h,1350000,S,28/05/2016,8.7,3032,5,3,5,670
Pascoe Vale,h,1345000,S,8/10/2016,9.9,3044,5,2,5,759
Reservoir,h,800000,S,6/08/2016,11.2,3073,3,1,5,4679
Spotswood,h,1161000,S,25/02/2017,7.7,3015,4,2,5,742
St Kilda,h,4750000,PI,27/11/2016,6.1,3182,4,3,5,648
Sunshine,h,1001000,S,4/03/2017,12.6,3020,3,1,5,879
Sunshine,h,700000,PI,30/07/2016,12.6,3020,4,1,5,650
Sunshine North,h,735000,S,16/04/2016,13.3,3020,4,2,5,635
Templestowe Lower,h,790000,PI,8/10/2016,13.8,3107,4,2,5,671
Toorak,h,5500000,S,4/03/2017,4.6,3142,4,4,5,877
Williamstown North,h,1410000,SP,8/10/2016,8.9,3016,5,2,5,680
Yarraville,h,725000,S,24/09/2016,7,3013,3,1,5,558
South Kingsville,h,985000,S,12/06/2016,9.1,3015,3,1,5,669
Mont Albert,h,2100000,VB,13/05/2017,11.8,3127,4,2,5,719
Reservoir,h,1005000,S,20/05/2017,11.2,3073,4,2,5,768
Sunshine,h,760000,S,8/04/2017,12.6,3020,4,1,5,650
Yarraville,h,985500,S,13/05/2017,7,3013,4,1,5,445
Williamstown North,h,1070000,PI,8/04/2017,8.9,3016,3,2,5,442
Balwyn,h,1475000,PI,1/07/2017,7.9,3103,4,3,5,380
Mont Albert,h,2320000,S,1/07/2017,10.2,3127,4,2,5,728
Reservoir,h,825000,S,1/07/2017,12,3073,3,2,5,537
Greenvale,h,1170000,S,3/06/2017,20.4,3059,5,3,5,1750
Greenvale,h,830000,SP,3/06/2017,20.4,3059,5,4,5,602
Hawthorn,h,5510000,S,3/06/2017,5.3,3122,5,2,5,820
Pascoe Vale,h,1260000,S,17/06/2017,8.5,3044,4,2,5,669
Reservoir,h,930000,S,17/06/2017,12,3073,4,1,5,700
Bentleigh East,h,1655000,S,27/05/2017,13.8,3165,4,2,5,612
Preston,h,980000,S,12/08/2017,8.4,3072,3,1,5,581
Sunshine West,h,630000,S,15/07/2017,10.5,3020,3,1,5,626
Altona North,h,805000,S,22/07/2017,9.4,3025,4,2,5,562
Glenroy,h,940000,SP,22/07/2017,11.2,3046,3,2,5,627
Maidstone,h,1005000,S,22/07/2017,6.4,3012,3,1,5,653
Mill Park,h,955000,S,29/07/2017,17.9,3082,5,2,5,698
Balwyn,h,870000,S,3/09/2017,7.9,3103,2,1,5,
Bentleigh East,h,1290000,VB,3/09/2017,13.8,3165,3,1,5,
Coburg,t,685000,SP,3/09/2017,6.7,3058,2,2,5,
Eltham North,h,881017,SP,3/09/2017,18,3095,3,2,5,662
Northcote,h,1386000,S,3/09/2017,5.3,3070,2,1,5,270
Ascot Vale,u,355500,S,9/09/2017,4.3,3032,1,1,5,
Flemington,h,820000,PI,9/09/2017,3.4,3031,3,1,5,185
Carrum Downs,u,420000,SP,16/09/2017,34.9,3201,3,2,5,
Cheltenham,u,460000,SP,16/09/2017,17.9,3192,2,1,5,
Altona North,h,1201000,S,19/08/2017,9.4,3025,5,3,5,
Preston,u,790000,S,19/08/2017,8.4,3072,3,2,5,
Sunbury,h,825000,S,19/08/2017,31.7,3429,4,2,5,
Tullamarine,u,500000,S,19/08/2017,12.9,3043,3,1,5,
Glen Waverley,h,1214000,S,23/09/2017,16.7,3150,4,2,5,694
Kealba,h,572000,S,23/09/2017,14,3021,3,1,5,554
Maribyrnong,h,752500,S,23/09/2017,4.3,3032,2,1,5,488
Point Cook,h,712000,S,23/09/2017,14.7,3030,4,2,5,
Vermont,h,1260000,S,23/09/2017,17.2,3133,4,2,5,682
Glen Huntly,u,442000,S,26/08/2017,10.1,3163,2,1,5,
Reservoir,h,829000,S,26/08/2017,12,3073,3,1,5,
Reservoir,t,707000,S,26/08/2017,12,3073,3,2,5,
Bellfield,h,795000,S,7/10/2017,8.8,3081,3,2,5,368
Mill Park,h,666000,S,7/10/2017,17.9,3082,4,2,5,
Malvern East,h,1307500,S,14/10/2017,8.4,3145,3,1,5,
Tarneit,h,621000,SP,14/10/2017,18.4,3029,4,2,5,
Braybrook,h,785000,S,21/10/2017,8.6,3019,3,1,5,539
Brighton,h,2451000,S,21/10/2017,10.5,3186,4,3,5,335
Carlton North,h,1371000,S,21/10/2017,3.5,3054,3,2,5,109
Lalor,h,580000,S,21/10/2017,16.3,3075,4,2,5,
Werribee,h,470000,SP,21/10/2017,14.7,3030,3,2,5,568
Brunswick,h,970000,S,28/10/2017,5.2,3056,2,1,5,
Clayton,h,1004000,S,28/10/2017,16.7,3168,3,1,5,852
Gladstone Park,h,680000,SP,28/10/2017,12.9,3043,4,2,5,558
Reservoir,h,1181000,S,28/10/2017,12,3073,4,1,5,
Reservoir,h,980000,PI,28/10/2017,12,3073,4,2,5,926
Waterways,h,1266000,S,4/11/2017,21.5,3195,4,2,5,
Clifton Hill,h,1155000,S,11/11/2017,3.6,3068,2,1,5,173
Delahey,h,600000,S,11/11/2017,18,3037,3,2,5,
Hoppers Crossing,h,468000,S,11/11/2017,18.4,3029,3,1,5,570
Hughesdale,h,1407000,SP,11/11/2017,12.3,3166,3,3,5,672
Murrumbeena,h,1420000,S,11/11/2017,10.1,3163,3,1,5,
Newport,h,1230000,S,11/11/2017,6.2,3015,4,2,5,290
Sunshine West,h,800000,S,11/11/2017,10.5,3020,3,1,5,
Thornbury,h,1180000,PI,11/11/2017,7,3071,3,1,5,
Ashburton,h,1825000,S,18/11/2017,10.2,3147,3,1,5,720
Flemington,h,905000,S,25/11/2017,3.4,3031,2,1,5,
Prahran,h,3250000,SP,25/11/2017,4.6,3181,3,2,5,261
Sunbury,h,608000,S,25/11/2017,31.7,3429,4,2,5,652
Greensborough,h,835000,S,6/01/2018,16.1,3088,3,1,5,
Greensborough,h,760000,S,6/01/2018,16.1,3088,3,1,5,576
Lalor,h,665000,S,6/01/2018,16.3,3075,3,1,5,535
Eaglemont,h,1035000,S,9/12/2017,8.9,3084,3,2,5,
Forest Hill,h,1200000,SP,9/12/2017,15.4,3131,4,1,5,856
Taylors Hill,h,621000,PI,9/12/2017,18,3037,4,2,5,
Mulgrave,h,1020000,S,10/02/2018,18.8,3170,3,2,5,
Elsternwick,h,2100000,VB,3/03/2018,7.2,3185,3,2,5,346
Footscray,h,900000,S,3/03/2018,5.1,3011,2,1,5,197
West Footscray,h,1000000,SP,3/03/2018,6.4,3012,2,1,5,356
Ascot Vale,h,809000,S,17/02/2018,4.3,3032,2,1,5,219
Balwyn,h,2400000,S,17/02/2018,7.9,3103,3,2,5,911
Essendon,h,1800000,S,17/02/2018,7.5,3040,4,2,5,763
Spotswood,h,1222000,S,17/02/2018,6.2,3015,3,1,5,390
West Footscray,h,650000,PI,17/02/2018,6.4,3012,3,2,5,124
Reservoir,h,728000,S,17/03/2018,12,3073,3,1,5,239
Albion,h,655000,S,24/02/2018,10.5,3020,2,1,5,463
Brunswick East,h,986000,S,24/02/2018,4,3057,2,1,5,191
Coburg,h,1035000,S,24/02/2018,6.7,3058,3,1,5,375
Alphington,h,2840000,S,12/06/2016,6.4,3078,5,4,4,809
Altona,h,780000,PI,4/06/2016,13.8,3018,4,1,4,655
Altona,h,1335000,S,8/10/2016,13.8,3018,3,1,4,777
Altona,h,635000,S,14/05/2016,13.8,3018,3,1,4,625
Altona,h,900000,S,28/05/2016,13.8,3018,3,1,4,697
Altona North,h,650000,SP,12/06/2016,11.1,3025,4,1,4,558
Altona North,h,965000,SP,15/10/2016,11.1,3025,4,1,4,851
Altona North,h,693000,SP,22/05/2016,11.1,3025,4,2,4,315
Altona North,h,988000,S,22/08/2016,11.1,3025,3,1,4,715
Altona North,h,1200000,SP,27/11/2016,11.1,3025,4,1,4,633
Armadale,h,2000000,PI,28/05/2016,6.3,3143,4,3,4,544
Ascot Vale,h,1300000,PI,27/11/2016,5.9,3032,4,1,4,664
Ascot Vale,h,1705000,S,30/07/2016,5.9,3032,4,2,4,598
Ashburton,t,2050000,S,3/12/2016,11,3147,3,3,4,310
Ashburton,h,1800000,S,25/02/2017,11,3147,4,2,4,749
Ashburton,h,1600000,S,27/11/2016,11,3147,5,3,4,700
Ashwood,h,761000,PI,7/11/2016,12.2,3147,3,2,4,400
Avondale Heights,h,1200000,S,4/06/2016,10.5,3034,4,5,4,673
Avondale Heights,h,725000,SP,15/10/2016,10.5,3034,3,1,4,606
Avondale Heights,h,850000,SP,18/06/2016,10.5,3034,5,2,4,574
Avondale Heights,h,890000,S,27/11/2016,10.5,3034,4,2,4,585
Balwyn,h,3180000,S,10/12/2016,9.7,3103,4,3,4,1148
Balwyn,h,3270000,S,12/11/2016,9.7,3103,4,2,4,935
Balwyn,h,1860000,S,14/05/2016,9.7,3103,3,1,4,671
Balwyn,h,3400000,VB,18/06/2016,9.7,3103,5,6,4,739
Balwyn,h,2810000,PI,25/02/2017,9.7,3103,5,3,4,1468
Balwyn North,h,2550000,S,4/03/2017,9.2,3104,4,1,4,847
Balwyn North,h,1800000,VB,10/12/2016,9.2,3104,4,2,4,587
Balwyn North,h,1480000,PI,15/10/2016,9.2,3104,3,1,4,605
Balwyn North,h,1670000,S,18/03/2017,9.2,3104,4,1,4,1042
Balwyn North,h,1550000,S,18/06/2016,9.2,3104,4,3,4,707
Balwyn North,h,4000000,PI,18/06/2016,9.2,3104,5,5,4,1364
Balwyn North,h,1389000,S,22/05/2016,9.2,3104,2,1,4,701
Balwyn North,h,1900000,VB,22/08/2016,9.2,3104,4,2,4,587
Bentleigh,h,1550000,S,3/12/2016,13,3204,2,1,4,730
Bentleigh,h,1420000,S,3/12/2016,13,3204,4,1,4,786
Bentleigh,h,1005000,S,4/06/2016,13,3204,7,3,4,607
Bentleigh,h,1275000,S,10/09/2016,13,3204,3,1,4,758
Bentleigh,h,1815000,S,10/12/2016,13,3204,4,2,4,902
Bentleigh,h,1910000,S,18/06/2016,13,3204,4,2,4,736
Bentleigh,h,1280000,S,25/02/2017,13,3204,3,2,4,587
Bentleigh East,h,1960000,S,4/03/2017,13.9,3165,4,2,4,601
Bentleigh East,h,950000,VB,7/05/2016,13.9,3165,5,2,4,618
Bentleigh East,h,965000,S,7/05/2016,13.9,3165,3,1,4,574
Bentleigh East,h,1100000,S,8/10/2016,13.9,3165,4,2,4,653
Bentleigh East,h,1110000,S,10/12/2016,13.9,3165,3,1,4,612
Bentleigh East,h,1307000,S,13/08/2016,13.9,3165,3,2,4,684
Bentleigh East,h,1085000,S,15/10/2016,13.9,3165,3,2,4,710
Bentleigh East,h,1050000,S,16/04/2016,13.9,3165,3,1,4,726
Bentleigh East,h,1300000,S,17/09/2016,13.9,3165,3,1,4,746
Box Hill,h,1670000,S,17/09/2016,13.1,3128,4,4,4,707
Braybrook,h,870000,S,3/09/2016,10.8,3019,3,2,4,700
Braybrook,h,868000,S,7/11/2016,10.8,3019,2,1,4,749
Brighton,h,1910000,S,7/05/2016,11.2,3186,2,2,4,696
Brighton,h,2800000,S,18/03/2017,11.2,3186,4,2,4,569
Brighton East,h,1700000,PI,10/12/2016,10.7,3187,4,3,4,708
Brighton East,h,2050000,SP,15/10/2016,10.7,3187,4,2,4,678
Brighton East,h,1620000,S,16/04/2016,10.7,3187,3,2,4,678
Brighton East,h,1650000,VB,22/05/2016,10.7,3187,4,2,4,506
Brighton East,h,2820000,S,27/11/2016,10.7,3187,4,4,4,509
Brunswick,h,800000,PI,18/03/2017,5.2,3056,1,1,4,330
Brunswick West,h,910000,S,16/04/2016,5.9,3055,2,1,4,576
Brunswick West,h,901000,S,23/04/2016,5.9,3055,3,1,4,357
Camberwell,h,2860000,PI,4/03/2017,7.8,3124,5,3,4,753
Camberwell,h,2950000,VB,7/05/2016,7.8,3124,4,2,4,661
Camberwell,h,2608000,S,15/10/2016,7.8,3124,5,2,4,730
Camberwell,h,1800000,PI,18/06/2016,7.8,3124,2,1,4,368
Camberwell,h,3400000,S,25/02/2017,7.8,3124,3,2,4,877
Camberwell,h,2015000,S,27/11/2016,7.8,3124,4,1,4,772
Camberwell,h,2000000,VB,28/08/2016,7.8,3124,4,3,4,697
Canterbury,t,1550000,PI,4/03/2017,9,3126,4,2,4,318
Canterbury,h,2930000,S,10/12/2016,9,3126,5,3,4,645
Canterbury,h,2350000,VB,15/10/2016,9,3126,5,2,4,838
Canterbury,h,3550000,VB,18/03/2017,9,3126,5,4,4,684
Canterbury,h,3400000,S,19/11/2016,9,3126,4,1,4,845
Carnegie,h,1423000,S,19/11/2016,11.4,3163,4,3,4,838
Coburg,h,1020000,PI,25/02/2017,7.8,3058,5,2,4,381
Coburg,h,1075000,S,25/02/2017,7.8,3058,4,1,4,531
Coburg North,h,820000,SP,12/11/2016,9.2,3058,2,1,4,629
Coburg North,h,637000,S,18/06/2016,9.2,3058,3,1,4,498
Doncaster,h,1403000,S,3/12/2016,13.9,3108,3,1,4,727
Doncaster,h,1810000,S,28/05/2016,13.9,3108,4,2,4,769
Doncaster,h,826000,S,28/08/2016,13.9,3108,3,1,4,192
Essendon,h,1965000,S,4/03/2017,8,3040,4,2,4,704
Essendon,h,1330000,S,26/07/2016,8,3040,3,1,4,687
Fairfield,h,2350000,PI,18/06/2016,5.8,3078,3,2,4,735
Fairfield,h,1350000,VB,19/11/2016,5.8,3078,3,1,4,553
Flemington,h,991000,S,23/04/2016,4.4,3031,3,1,4,402
Glen Iris,h,3110000,S,4/03/2017,9.2,3146,4,2,4,1318
Glen Iris,h,2175000,S,4/06/2016,9.2,3146,5,3,4,619
Glen Iris,h,2300000,VB,6/08/2016,9.2,3146,4,3,4,1258
Glen Iris,h,2975000,S,10/12/2016,9.2,3146,4,3,4,0
Glen Iris,h,2825000,PI,17/09/2016,9.2,3146,5,4,4,802
Glenroy,h,822000,S,4/03/2017,13,3046,3,1,4,700
Glenroy,h,1025000,S,6/08/2016,13,3046,4,2,4,1011
Glenroy,h,737000,S,8/10/2016,13,3046,3,1,4,640
Glenroy,h,670000,PI,10/12/2016,13,3046,3,1,4,734
Glenroy,h,702000,S,10/12/2016,13,3046,4,1,4,606
Glenroy,h,820000,VB,10/12/2016,13,3046,3,2,4,805
Glenroy,h,810000,S,11/03/2017,13,3046,5,4,4,695
Glenroy,h,688000,S,15/10/2016,13,3046,3,1,4,700
Glenroy,h,703000,S,17/09/2016,13,3046,3,1,4,704
Glenroy,h,600000,S,22/05/2016,13,3046,3,1,4,541
Glenroy,h,500000,SP,25/02/2017,13,3046,3,1,4,677
Glenroy,h,762700,SP,25/02/2017,13,3046,3,1,4,597
Glenroy,h,825000,S,30/07/2016,13,3046,4,2,4,768
Hadfield,h,719000,S,8/10/2016,12.1,3046,3,1,4,692
Hadfield,h,725000,S,24/09/2016,12.1,3046,3,2,4,560
Hadfield,h,650000,S,26/07/2016,12.1,3046,4,1,4,588
Hadfield,h,460000,S,27/11/2016,12.1,3046,2,1,4,360
Hampton,h,2000000,PI,10/09/2016,13.7,3188,4,3,4,615
Hampton,h,3470000,SP,12/11/2016,13.7,3188,5,3,4,670
Hampton,h,2400000,S,17/09/2016,13.7,3188,4,2,4,802
Hampton,h,2200000,PI,23/04/2016,13.7,3188,4,3,4,583
Heidelberg Heights,h,1370000,S,4/03/2017,10.5,3081,4,2,4,481
Heidelberg Heights,h,770000,VB,19/11/2016,10.5,3081,8,4,4,638
Heidelberg Heights,h,662500,S,28/05/2016,10.5,3081,3,1,4,552
Heidelberg West,h,710000,S,27/11/2016,9.4,3081,3,2,4,1
Hughesdale,h,677500,PI,30/07/2016,13,3166,2,1,4,575
Kealba,h,515000,S,10/12/2016,15,3021,3,1,4,597
Kealba,h,582000,SP,16/07/2016,15,3021,3,2,4,530
Keilor East,h,970000,S,10/12/2016,12.8,3033,4,2,4,659
Keilor East,h,715000,SP,30/07/2016,12.8,3033,3,2,4,598
Kew,h,3550000,VB,7/11/2016,5.6,3101,4,3,4,992
Kew,h,1950000,S,12/11/2016,5.6,3101,2,1,4,596
Kew,h,4850000,S,12/11/2016,5.6,3101,5,4,4,957
Kew,h,2770000,S,13/08/2016,5.6,3101,3,3,4,1197
Kew,h,2850000,S,25/02/2017,5.6,3101,4,2,4,690
Kew,h,2560000,PI,27/11/2016,5.6,3101,4,3,4,670
Kew East,h,1850000,PI,12/11/2016,7.5,3102,5,3,4,787
Kew East,h,1750000,S,17/09/2016,7.5,3102,3,2,4,611
Kew East,h,3028000,S,18/03/2017,7.5,3102,5,5,4,696
Maidstone,h,927000,S,4/02/2016,9.2,3012,2,1,4,524
Malvern,h,3010000,S,18/03/2017,7.4,3144,3,3,4,283
